이름,카테고리,가격,단위,정규이름
[KF365] 백다다기오이 3입,채소,3990,3입,[kf365]백다다기오이
햇 양파 1.5kg,채소,3290,5kg,햇양파1.
한통 양배추,채소,3990,기타,한통양배추
[KF365] 애호박 1개,채소,1990,1개,[kf365]애호박
친환경 당근 500g,채소,2990,500g,친환경당근
알배기 배추 1봉 (1/2통 * 2개입),채소,4990,1봉,알배기배추(1/2통*입)
[KF365] 노지 햇 감자 1kg,채소,3990,1kg,[kf365]노지햇감자
[KF365] 무농약 국산콩 콩나물 300g,채소,1590,300g,[kf365]무농약국산콩콩나물
싱그러운 유러피안 샐러드믹스 2종,채소,5490,기타,싱그러운유러피안샐러드믹스2종
밀양 햇 흙당근 1kg,채소,2990,1kg,밀양햇흙당근
[KF365] 브로콜리 1입,채소,3490,1입,[kf365]브로콜리
깐대파 500g,채소,3990,500g,깐대파
와일드 루꼴라 50g,채소,3290,50g,와일드루꼴라
[KF365] 파프리카 2입,채소,2490,2입,[kf365]파프리카
[KF365] 깐마늘 200g,채소,3490,200g,[kf365]깐마늘
[KF365] 팽이버섯 2입,채소,1290,2입,[kf365]팽이버섯
[바름팜] 영암 친환경 꿀고구마 1.5kg,채소,11900,5kg,[바름팜]영암친환경꿀고구마1.
천안 아우내 백다다기오이 5입,채소,4990,5입,천안아우내백다다기오이
친환경 백다다기오이 2입,채소,4290,2입,친환경백다다기오이
친환경 시금치 200g,채소,6990,200g,친환경시금치
[바름팜] 친환경 한통 양배추,채소,4990,기타,[바름팜]친환경한통양배추
[KF365] 호박고구마 800g,채소,5990,800g,[kf365]호박고구마
[KF365] 친환경 표고버섯 300g,채소,5490,300g,[kf365]친환경표고버섯
[KF365] 흙대파 1단 850g,채소,3490,850g,[kf365]흙대파1단
양상추 1입,채소,3490,1입,양상추
노지 햇 감자 2kg,채소,6990,2kg,노지햇감자
더 달콤한 무농약 숙성 고구마 1.5kg,채소,9990,5kg,더달콤한무농약숙성고구마1.
[KF365] 새송이버섯 400g,채소,2990,400g,[kf365]새송이버섯
[KF365] 깻잎 30g,채소,1990,30g,[kf365]깻잎
[KF365] 부추 200g,채소,2490,200g,[kf365]부추
간편 삼계탕 재료 3입,채소,4490,3입,간편삼계탕재료
[KF365] 가지 2입,채소,1990,2입,[kf365]가지
파로(엠머밀)500g,채소,9400,500g,파로(엠머밀)
[KF365] 무 1통,채소,2990,기타,[kf365]무1통
[KF365] 냉동 다진 마늘 300g,채소,6990,300g,[kf365]냉동다진마늘
[1+1기획특가][KF365] 참타리 버섯 200g+200g,채소,1490,200g,[1+1기획특가][kf365]참타리버섯+
[풀무원] 특등급 국산콩 무농약 콩나물 340g,채소,2400,340g,[풀무원]특등급국산콩무농약콩나물
경기 시금치 200g,채소,6390,200g,경기시금치
청경채 300g,채소,3990,300g,청경채
[KF365] 청양고추 200g,채소,2490,200g,[kf365]청양고추
친환경 애호박 1개,채소,3990,1개,친환경애호박
[풀무원] 다진마늘 2종,채소,5980,기타,[풀무원]다진마늘2종
[제각각] 백다다기오이 7입,채소,4990,7입,[제각각]백다다기오이
깐쪽파 200g,채소,6990,200g,깐쪽파
바로 데워먹는 야채찜1kg,채소,9900,1kg,바로데워먹는야채찜
[풀무원] SOGA 아삭숙주 350g,채소,1740,350g,[풀무원]soga아삭숙주
한끼 깐마늘 100g,채소,1990,100g,한끼깐마늘
[바름팜] 영암 꿀고구마 1kg,채소,5990,1kg,[바름팜]영암꿀고구마
[KF365] 밤고구마 800g,채소,4990,800g,[kf365]밤고구마
믹스 샐러드 3종,채소,3490,기타,믹스샐러드3종
친환경 깻잎 100g,채소,4590,100g,친환경깻잎
마늘 100% 다진마늘 500g,채소,9990,500g,마늘100%다진마늘
조각 양배추 500g,채소,3490,500g,조각양배추
양송이버섯 140g,채소,3490,140g,양송이버섯
친환경 깐 양파 200g,채소,2990,200g,친환경깐양파
상추&깻잎 간편쌈 120g,채소,3290,120g,상추&깻잎간편쌈
파프리카 4입,채소,3990,4입,파프리카
미니 파프리카 200g,채소,3990,200g,미니파프리카
햇 양파 900g,채소,2990,900g,햇양파
표고버섯 100g,채소,2990,100g,표고버섯
능이버섯 백숙재료 135g,채소,6490,135g,능이버섯백숙재료
친환경 미니 밤호박 (보짱),채소,3990,기타,친환경미니밤호박(보짱)
미니오이 10입,채소,5990,10입,미니오이
한끼 채소 손질 대파 100g,채소,1990,100g,한끼채소손질대파
[바름팜] 친환경 햇 양파 500g,채소,2490,500g,[바름팜]친환경햇양파
친환경 조각 양배추 400g,채소,3490,400g,친환경조각양배추
[KF365] 청상추 150g,채소,2990,150g,[kf365]청상추
미니오이 5입,채소,3290,5입,미니오이
친환경 손질한 잎몸 대파 200g,채소,3990,200g,친환경손질한잎몸대파
[제각각] 청양고추 300g,채소,2690,300g,[제각각]청양고추
친환경 버터헤드레터스,채소,3490,기타,친환경버터헤드레터스
GAP 장수 숙주나물 200g,채소,1490,200g,gap장수숙주나물
[땅끝농협] 국산 다진마늘 260g,채소,5590,260g,[땅끝농협]국산다진마늘
[팜에이트] 친환경 유러피안 샐러드 130g,채소,4890,130g,[팜에이트]친환경유러피안샐러드
깐마늘 1kg,채소,10900,1kg,깐마늘
[저스트그린] 데일리 샐러드 4종,채소,2090,기타,[저스트그린]데일리샐러드4종
찰 옥수수 5입,채소,5990,5입,찰옥수수
샐러드 채소믹스 1kg,채소,9990,1kg,샐러드채소믹스
루꼴라 리프 30g,채소,2190,30g,루꼴라리프
